img_path,img_width,img_height,local_id,bbox,label
JPEGImages/001196.jpg,519,352,1,"[20, 30, 506, 306]",VOC2007
JPEGImages/001197.jpg,363,495,1,"[2, 119, 358, 339]",VOC2007
JPEGImages/003366.jpg,359,500,1,"[108, 279, 240, 325]",VOC2007
JPEGImages/006908.jpg,488,373,1,"[76, 55, 415, 311]",VOC2007
JPEGImages/007791.jpg,392,524,1,"[154, 235, 234, 275]",VOC2007
JPEGImages/008950.jpg,522,391,1,"[127, 81, 420, 217]",VOC2007
JPEGImages/012420.jpg,522,361,1,"[176, 182, 350, 216]",VOC2007
JPEGImages/015615.jpg,502,390,1,"[114, 85, 398, 244]",VOC2007
JPEGImages/015690.jpg,481,384,1,"[163, 97, 408, 222]",VOC2007
JPEGImages/000250.jpg,494,396,10,"[197, 111, 485, 195]",VOC2007
JPEGImages/000413.jpg,509,387,10,"[110, 49, 346, 80]",VOC2007
JPEGImages/006048.jpg,359,508,10,"[41, 196, 317, 255]",VOC2007
JPEGImages/013564.jpg,508,398,10,"[111, 246, 390, 330]",VOC2007
JPEGImages/017979.jpg,517,395,10,"[101, 205, 419, 270]",VOC2007
JPEGImages/019634.jpg,517,356,10,"[130, 223, 386, 254]",VOC2007
JPEGImages/021214.jpg,380,514,10,"[127, 118, 250, 153]",VOC2007
JPEGImages/021573.jpg,523,381,10,"[13, 79, 520, 256]",VOC2007
JPEGImages/022839.jpg,518,371,10,"[3, 9, 484, 191]",VOC2007
JPEGImages/022869.jpg,486,359,10,"[149, 76, 445, 203]",VOC2007
JPEGImages/023550.jpg,491,383,10,"[2, 142, 491, 209]",VOC2007
JPEGImages/024286.jpg,504,394,10,"[59, 200, 462, 265]",VOC2007
JPEGImages/003270.jpg,720,720,100,"[295, 186, 398, 235]",Avonmore
JPEGImages/003270.jpg,720,720,100,"[434, 388, 531, 464]",Avonmore
JPEGImages/003270.jpg,720,720,100,"[234, 291, 301, 359]",Avonmore
JPEGImages/004754.jpg,320,320,100,"[62, 112, 136, 152]",Avonmore
JPEGImages/004754.jpg,320,320,100,"[253, 128, 303, 149]",Avonmore
